,egypt_def,min_HAD,sudan_def,ethiopia_hydro
23513,14.562563,150.89464,0.014637409,7.556553
23514,5.288146,156.44633,0.01796121,7.4045906
23515,4.417239,153.41641,0.0,10.910561
23516,0.9333291,173.33742,0.0,13.976375
23517,16.26075,150.67348,0.27655336,5.0475626
23518,5.4571576,153.67384,0.0,8.680461
23519,0.5221826,176.11125,0.0,16.014711
23520,0.30734587,175.90494,0.0,16.611897
23521,10.582487,151.3495,0.003283081,8.056559
23522,2.5922267,162.73337,0.0,10.68302
23523,7.290704,151.85213,0.001653406,9.324651
23524,8.375773,152.9231,0.0,9.575738
23525,4.7764482,154.54604,0.0,9.149921
23526,1.198464,173.08511,0.0,14.435577
23527,0.6507739,174.09636,0.0,15.347859
23528,0.42036057,176.85889,0.0,16.422606
23529,0.595729,174.796,0.0,15.579395
23530,6.002814,153.18124,0.0,8.637638
23531,12.226768,151.1835,0.005456095,7.778035
23532,0.24477056,179.0014,0.0,15.809918
23533,0.57003313,175.52072,0.0,15.362952
23534,0.31647462,178.00214,0.0,17.012817
23535,3.1429856,169.40521,0.0,11.338168
23536,1.3292564,173.65494,0.0,13.011517
23537,0.58273274,174.33766,0.0,16.327772
23538,2.9749255,156.63058,0.0,10.303293
23539,5.474532,156.06195,0.0,7.459593
23540,2.677508,170.41899,0.0,10.363158
23541,0.40307817,175.57527,0.0,15.696131
23542,1.834816,172.40508,0.0,12.45827
23543,0.36264887,176.68909,0.0,17.135324
23544,12.4730835,150.73953,0.14460276,5.136022
23545,0.81001836,173.4757,0.0,14.534259
23546,0.5760003,174.23877,0.0,16.086628
23547,0.874059,174.93178,0.0,15.497658
23548,6.874071,151.857,0.0020899253,9.61177
23549,10.596769,150.80977,0.088239595,6.9717064
23550,2.7671685,158.10242,0.0,10.352346
23551,3.926575,162.8794,0.0,7.748338
23552,0.6278259,175.0041,0.0,14.758288
23553,2.5710683,171.45262,0.0,11.58095
23554,1.1762524,173.29803,0.0,13.286496
23555,2.4678707,157.59222,0.0,11.1492605
23556,0.24191198,178.97002,0.0,15.768403
23557,9.7057495,151.27144,0.014595018,9.082093
23558,8.143857,151.88623,0.0,7.8904433
23559,8.455071,152.3156,0.051805712,7.2357345
23560,0.31599998,176.72174,0.0,17.189457
23561,4.875502,158.14034,0.019319616,8.265271
23562,0.5114336,176.12245,0.0,15.555891
23563,0.37495834,175.73175,0.0,15.897731
23564,0.4707207,177.09946,0.0,16.051056
23565,2.3739746,170.83415,0.0,11.0136175
23566,0.33373332,175.93814,0.0,16.81403
